"","fecha2","calle","cruce","colonia","delito","diaSem","mes","lat","lon"
"102",2014-01-04,"PERIFERICO ","PROL. MARIANO OTERO","MARIANO OTERO","INGERIR BEBIDAS ALCOHOLICAS EN LUGARES PUBLICOS NO AUTORIZADOS","Sat",1,20.6306877,-103.4360547
"103",2014-01-04,"AV. ADOLFO LOPEZ MATEOS","JUSTO SIERRA","AGUA BLANCA","INGERIR BEBIDAS ALCOHOLICAS EN LUGARES PUBLICOS NO AUTORIZADOS","Sat",1,20.6313821,-103.4158532
"104",2014-01-04,"EL CAMPANARIO","SAN JOSE","CAMPANARIO EL","VIOLACION LEY GENERAL DE SALUD","Sat",1,20.5936471,-103.4370388
"105",2014-01-04,"CACTUS","NOPALES","TUZANIA LA","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Sat",1,20.7378864,-103.4146758
"106",2014-01-04,"OYAMELES","AV. TUZANIA","TUZANIA LA","VIOLACION LEY GENERAL DE SALUD","Sat",1,20.7380408,-103.415141
"107",2014-01-04,"NIQUEL","PIRITA","ARENALES TAPATIOS","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Sat",1,20.6364805,-103.4633269
"108",2014-01-04,"NIQUEL","PIRITA","ARENALES TAPATIOS","VIOLACION LEY GENERAL DE SALUD","Sat",1,20.6364805,-103.4633269
"109",2014-01-04,"GUANAJUATO","TLAXCALA","MANTE EL","VIOLACION LEY GENERAL DE SALUD","Sat",1,20.6062112,-103.4213415
"110",2014-01-04,"AV. JUAN PABLO II","PERIFERICO","UNIDAD FOVISSSTE","ROBO PERSONA","Sat",1,20.6921461,-103.3099425
"111",2014-01-04,"HILO BLANCO","HIDALGO","AGUJAS LAS","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Sat",1,20.7962046,-103.4870256
"112",2014-01-04,"HILO BLANCO","HIDALGO","AGUJAS LAS","INGERIR BEBIDAS ALCOHOLICAS EN LUGARES PUBLICOS NO AUTORIZADOS","Sat",1,20.7962046,-103.4870256
"113",2014-01-04,"PERIFERICO","PUERTO GUAYMAS","MIRAMAR","AGRESION FISICA HACIA LAS PERSONAS","Sat",1,20.638923,-103.439499
"114",2014-01-04,"OBREROS DE CANANEA","PRIV. GRAL. SALVADOR GONZALEZ","CONSTITUCION","INGERIR BEBIDAS ALCOHOLICAS EN LUGARES PUBLICOS NO AUTORIZADOS","Sat",1,20.7310741,-103.3690464
"115",2014-01-04,"OBREROS DE CANANEA","PRIV. GRAL. SALVADOR GONZALEZ","CONSTITUCION","VIOLACION LEY GENERAL DE SALUD","Sat",1,20.7310741,-103.3690464
"116",2014-01-04,"AV. JUAN PABLO II","FERNANDO ARANGUREN","PLAZA BELENES","ROBO NEGOCIO CON SEGURIDAD PRIVADA","Sat",1,20.7349694,-103.3804428
"117",2014-01-04,"LAZARO CARDENAS","PROL. HUEJOTES","LOMAS DE TABACHINES","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Sat",1,20.7511826,-103.3581273
"118",2014-01-04,"ANGULO","16 DE SEPTIEMBRE","SAN JUAN DE OCOTAN","CONSUMIR ESTUPEFACIENTES, PSICOTROPICOS O INHALAR TOXICOS EN V.P.","Sat",1,20.7131485,-103.452506
"119",2014-01-04,"ANGULO","16 DE SEPTIEMBRE","SAN JUAN DE OCOTAN","VIOLACION LEY GENERAL DE SALUD","Sat",1,20.7131485,-103.452506
"120",2014-01-04,"SAN JUAN BOSCO","SAN MIGUEL OTE.","LOMAS DE SAN GONZALO","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Sat",1,20.7035195,-103.4105669
"121",2014-01-04,"4a. PONIENTE","3a. NORTE","JARDINES DE NUEVO MEXICO","INGERIR BEBIDAS ALCOHOLICAS EN LUGARES PUBLICOS NO AUTORIZADOS","Sat",1,20.7291348,-103.3996208
"122",2014-01-04,"FRANCISCO I. MADERO","MERCURIO","ARENALES TAPATIOS","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Sat",1,20.6292253,-103.4552577
"123",2014-01-04,"CIRCUNVALACION NORTE","PEDRO SIMON LAPLACE","PIRAMIDES LAS","VIOLACION LEY GENERAL DE SALUD","Sat",1,20.6272405,-103.4325886
"124",2014-01-04,"VALLADOLID","RUPERTO SALAS","BENITO JUAREZ","PORTACION DE ARMA DE FUEGO","Sat",1,20.7293677,-103.3420705
"125",2014-01-04,"PIÑA ","PITAHAYA","MESA COLORADA PONIENTE","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Sat",1,20.7649177,-103.3386033
"126",2014-01-04,"PASEO DE LOS HUEJOTES","PASEO DE LOS TAMARINDOS","TABACHINES","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Sat",1,20.7437497,-103.3595923
"127",2014-01-04,"PIPILA","CUAUHTEMOC","TABACHINES","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Sat",1,20.745971,-103.3653559
"128",2014-01-04,"PERIFERICO","CARR. A SALTILLO","BENITO JUAREZ","ROBO MOTOCICLETA","Sat",1,20.7386905,-103.3799337
"129",2014-01-04,"PLAN DE AYALA","FRANCISCO VILLA","DIVISION DEL NORTE","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Sat",1,20.7333038,-103.353913
"130",2014-01-04,"RAFAEL VEGA SANCHEZ","CONSTITUYENTES","CONSTITUCION","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Sat",1,20.7288519,-103.3662088
"131",2014-01-04,"SANTA ANA","AV. SANTA MARGARITA","SANTA MARGARITA","INGERIR BEBIDAS ALCOHOLICAS EN LUGARES PUBLICOS NO AUTORIZADOS","Sat",1,20.7285855,-103.4105846
"132",2014-01-04,"OCAMPO","LIBERTAD","SAN JUAN DE OCOTAN","CONSUMIR ESTUPEFACIENTES, PSICOTROPICOS O INHALAR TOXICOS EN V.P.","Sat",1,20.7084981,-103.4575394
"133",2014-01-04,"PUERTO MEXICO","PUERTO ACAPULCO","MIRAMAR","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Sat",1,20.6404409,-103.4527419
"134",2014-01-05,"EVA BRISEÑO","20 DE NOVIEMBRE","CABECERA MUNICIPAL","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Sun",1,20.7365639,-103.3700158
"135",2014-01-05,"GUELATAO","GUADALAJARA","BENITO JUAREZ","VIOLENCIA INTRAFAMILIAR","Sun",1,20.7348733,-103.3407753
"136",2014-01-05,"PRIV. MANZANOS","DURAZNOS","LOMAS DE TABACHINES","ENTORPECER LA CORRECTA PRESTACION DE LOS SERVIDORES PUBLICOS","Sun",1,20.74693,-103.3563939
"137",2014-01-05,"16 DE SEPTIEMBRE","ALLENDE","CABECERA MUNICIPAL","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Sun",1,20.7365639,-103.3700158
"138",2014-01-05,"MANUEL GARCIA","CARRETERA A NOGALES","VENTA DEL ASTILLERO LA","VIOLACION LEY GENERAL DE SALUD","Sun",1,20.7166667,-103.4
"139",2014-01-05,"FRANCISCO VILLA ","FRANCISCO I. MADERO","SANTA ANA TEPETITLAN","CONSUMIR ESTUPEFACIENTES, PSICOTROPICOS O INHALAR TOXICOS EN V.P.","Sun",1,20.6233222,-103.4602776
