"","address","lat","lon"
"270","PERIFERICO,TABACHINES,Zapopan",20.7401426,-103.3874468
"271","MERCURIO,ARENALES TAPATIOS,Zapopan",20.6350154,-103.4604285
"272","VISTA SELENE,VISTA HERMOSA,Zapopan",20.7588828,-103.3335915
"273","AV. JUAN PABLO II,VIGIA EL,Zapopan",20.7314154,-103.3938702
"274","AV. TESISTAN,SAN ISIDRO EJIDAL,Zapopan",20.7269506,-103.3998549
"275","AV. CRISTO REY,AMPLIACION SANTA LUCIA,Zapopan",20.7262532,-103.3830009
"276","AV. MANUEL AVILA CAMACHO,RESIDENCIAL PATRIA,Zapopan",20.7179111,-103.3837452
"277","RAFAEL SANZIO,PLAZA GALERIAS,Zapopan",20.677105,-103.4322123
"278","DEL LIENZO,VIGIA EL,Zapopan",20.7329425,-103.3927984
"279","5 DE MAYO,SAN JUAN DE OCOTAN,Zapopan",20.7115989,-103.450317
"280","5 DE MAYO,SAN JUAN DE OCOTAN,Zapopan",20.7115989,-103.450317
"281","SANTA TERESA,SANTA MARGARITA,Zapopan",20.729837,-103.4129343
"282","HIDALGO,SANTA ANA TEPETITLAN,Zapopan",20.6193814,-103.4564231
"283","AV. TEPEYAC,MIRADOR DEL SOL,Zapopan",20.6559913,-103.4218557
"284","AV. VALLARTA,LA GRAN PLAZA,Zapopan",20.6737931,-103.4047639
"285","MERCURIO,ARENALES TAPATIOS,Zapopan",20.6350154,-103.4604285
"286","PROL. AV. GUADALUPE,ARENALES TAPATIOS,Zapopan",20.6586694,-103.4375221
"287","PROL. AV. GUADALUPE,ARENALES TAPATIOS,Zapopan",20.6586694,-103.4375221
"288","DR. FERNANDO BANDA,CONJUNTO LAURELES,Zapopan",20.7330311,-103.3872506
"289","EMILIO CARRANZA,CABECERA MUNICIPAL,Zapopan",20.7365639,-103.3700158
"290","GRAL. MANUEL M. DIEGUEZ,CONSTITUCION,Zapopan",20.7262807,-103.3683427
"291","SANTA MARTHA,SANTA MARGARITA,Zapopan",20.7302775,-103.4131257
"292","COLIBRI,MIRADOR DE SAN ISIDRO,Zapopan",20.7560079,-103.3896437
"293","PRIV. GRAL. AGUSTIN OLACHEA,CONSTITUCION,Zapopan",20.7283292,-103.3695604
"294","22 DE JUNIO,INDIGENA DE MEZQUITAN,Zapopan",20.7380127,-103.3304679
"295","LOPEZ PORTILLO,FRANCISCO SARABIA,Zapopan",20.6056867,-103.4352597
